,2013,2014,2015,2016,2017,2018
Intro,295.0,50.0,211.0,71.0,437.0,430.0
Intermediate,77.0,87.0,0.0,128.0,39.0,16.0
Advanced,120.0,120.0,208.0,228.0,264.0,283.0
