Year,Country,Type,Count
2013,PK,Intermediate,0.0
2013,PK,Intro,0.0
2013,PR,Advanced,0.0
2013,PR,Intermediate,0.0
2013,PR,Intro,0.0
2013,PT,Advanced,0.0
2013,PT,Intermediate,0.0
2013,PT,Intro,1.0
2013,RO,Advanced,0.0
2013,RO,Intermediate,0.0
2013,RO,Intro,0.0
2013,RU,Advanced,0.0
2013,RU,Intermediate,0.0
2013,RU,Intro,0.0
2013,SC,Advanced,0.0
2013,SC,Intermediate,0.0
2013,SC,Intro,0.0
2013,SE,Advanced,0.0
2013,SE,Intermediate,0.0
2013,SE,Intro,2.0
2013,SG,Advanced,0.0
2013,SG,Intermediate,0.0
2013,SG,Intro,2.0
2013,SI,Advanced,0.0
2013,SI,Intermediate,0.0
2013,SI,Intro,0.0
2013,SR,Advanced,0.0
2013,SR,Intermediate,0.0
2013,SR,Intro,0.0
2013,SZ,Advanced,0.0
2013,SZ,Intermediate,0.0
2013,SZ,Intro,0.0
2013,TH,Advanced,0.0
2013,TH,Intermediate,0.0
2013,TH,Intro,0.0
2013,TN,Advanced,0.0
2013,TN,Intermediate,0.0
2013,TN,Intro,0.0
2013,TT,Advanced,0.0
2013,TT,Intermediate,0.0
2013,TT,Intro,0.0
2013,TZ,Advanced,0.0
2013,TZ,Intermediate,0.0
2013,TZ,Intro,0.0
2013,US,Advanced,3.0
2013,US,Intermediate,55.0
2013,US,Intro,152.0
2013,VN,Advanced,3.0
2013,VN,Intermediate,6.0
2013,VN,Intro,8.0
2013,WORLD,Advanced,139.0
2013,WORLD,Intermediate,510.0
2013,WORLD,Intro,974.0
2013,ZA,Advanced,0.0
2013,ZA,Intermediate,0.0
2013,ZA,Intro,0.0
2013,ZW,Advanced,0.0
2013,ZW,Intermediate,0.0
2013,ZW,Intro,0.0
2014,AE,Advanced,0.0
2014,AE,Intermediate,0.0
2014,AE,Intro,0.0
2014,AR,Advanced,0.0
2014,AR,Intermediate,0.0
2014,AR,Intro,0.0
2014,AT,Advanced,0.0
2014,AT,Intermediate,0.0
2014,AT,Intro,0.0
2014,AU,Advanced,0.0
2014,AU,Intermediate,0.0
2014,AU,Intro,0.0
2014,BB,Advanced,0.0
2014,BB,Intermediate,4.0
2014,BB,Intro,4.0
2014,BD,Advanced,0.0
2014,BD,Intermediate,0.0
2014,BD,Intro,0.0
2014,BE,Advanced,0.0
2014,BE,Intermediate,3.0
2014,BE,Intro,1.0
2014,BG,Advanced,0.0
2014,BG,Intermediate,0.0
2014,BG,Intro,0.0
2014,BJ,Advanced,0.0
2014,BJ,Intermediate,0.0
2014,BJ,Intro,0.0
2014,BO,Advanced,0.0
2014,BO,Intermediate,2.0
2014,BO,Intro,1.0
2014,BR,Advanced,0.0
2014,BR,Intermediate,0.0
2014,BR,Intro,2.0
2014,BS,Advanced,0.0
2014,BS,Intermediate,0.0
2014,BS,Intro,0.0
2014,BT,Advanced,0.0
2014,BT,Intermediate,0.0
2014,BT,Intro,0.0
2014,BW,Advanced,0.0
2014,BW,Intermediate,0.0
2014,BW,Intro,0.0
2014,BZ,Advanced,0.0
2014,BZ,Intermediate,0.0
2014,BZ,Intro,0.0
2014,CA,Advanced,0.0
2014,CA,Intermediate,2.0
2014,CA,Intro,3.0
2014,CH,Advanced,0.0
2014,CH,Intermediate,0.0
2014,CH,Intro,0.0
2014,CI,Advanced,0.0
2014,CI,Intermediate,0.0
2014,CI,Intro,0.0
2014,CL,Advanced,0.0
2014,CL,Intermediate,3.0
2014,CL,Intro,2.0
2014,CM,Advanced,0.0
2014,CM,Intermediate,0.0
2014,CM,Intro,0.0
2014,CN,Advanced,0.0
2014,CN,Intermediate,4.0
2014,CN,Intro,3.0
2014,CO,Advanced,0.0
2014,CO,Intermediate,2.0
2014,CO,Intro,2.0
2014,CR,Advanced,0.0
2014,CR,Intermediate,8.0
2014,CR,Intro,6.0
2014,DE,Advanced,0.0
2014,DE,Intermediate,3.0
2014,DE,Intro,1.0
2014,DK,Advanced,0.0
2014,DK,Intermediate,0.0
2014,DK,Intro,0.0
2014,DO,Advanced,0.0
2014,DO,Intermediate,0.0
2014,DO,Intro,0.0
2014,EC,Advanced,0.0
2014,EC,Intermediate,0.0
2014,EC,Intro,1.0
2014,EG,Advanced,0.0
2014,EG,Intermediate,0.0
2014,EG,Intro,0.0
2014,ES,Advanced,2.0
2014,ES,Intermediate,15.0
2014,ES,Intro,8.0
2014,ET,Advanced,0.0
2014,ET,Intermediate,0.0
2014,ET,Intro,0.0
2014,FR,Advanced,1.0
2014,FR,Intermediate,8.0
2014,FR,Intro,2.0
2014,GB,Advanced,0.0
2014,GB,Intermediate,2.0
2014,GB,Intro,2.0
2014,GE,Advanced,0.0
2014,GE,Intermediate,0.0
2014,GE,Intro,0.0
2014,GH,Advanced,0.0
2014,GH,Intermediate,0.0
2014,GH,Intro,0.0
2014,GR,Advanced,0.0
2014,GR,Intermediate,0.0
2014,GR,Intro,1.0
2014,GT,Advanced,0.0
2014,GT,Intermediate,0.0
2014,GT,Intro,0.0
2014,HU,Advanced,0.0
2014,HU,Intermediate,0.0
2014,HU,Intro,0.0
2014,ID,Advanced,0.0
2014,ID,Intermediate,0.0
2014,ID,Intro,1.0
2014,IL,Advanced,0.0
2014,IL,Intermediate,0.0
2014,IL,Intro,0.0
2014,IN,Advanced,26.0
2014,IN,Intermediate,39.0
2014,IN,Intro,49.0
2014,IT,Advanced,2.0
2014,IT,Intermediate,9.0
2014,IT,Intro,4.0
2014,JM,Advanced,0.0
2014,JM,Intermediate,0.0
2014,JM,Intro,0.0
2014,JO,Advanced,0.0
