,2013,2014,2015,2016,2017,2018
Intro,131.0,114.0,22.0,0.0,0.0,0.0
Nodal,71.0,32.0,68.0,0.0,0.0,9.0
Partner,295.0,50.0,211.0,71.0,437.0,430.0
Public,38.0,0.0,0.0,0.0,0.0,0.0
Regional,77.0,87.0,0.0,128.0,39.0,16.0
Seminar,0.0,0.0,14.0,0.0,0.0,0.0
Symposium,120.0,120.0,208.0,228.0,264.0,283.0
Webinar,25.0,77.0,18.0,0.0,0.0,0.0
